Course Title,University,Country,Course Area
International Trade Law: The Law and Policy of the WTO,University of New South Wales,Australia,WTO: Law and Policy
Perception and Cognition (S2),University of New South Wales,Australia,Cognitive Psychology
Asia-Pacific Business,University of New South Wales,Australia,Asian Studies
Asia-Pacific Capital Markets,University of New South Wales,Australia,Asian Studies
Southeast Asia,University of New South Wales,Australia,Asian Studies
Bank Financial Management,University of New South Wales,Australia,Finance Major Elective
Behavioural Finance,University of New South Wales,Australia,Finance Major Elective
Capital Markets and Institutions,University of New South Wales,Australia,Finance Major Elective
Credit Analysis and Lending - FINS3634,University of New South Wales,Australia,Finance Major Elective
FINS3630 BANK FINANCIAL MANAGEMENT,University of New South Wales,Australia,Finance Major Elective
"FINS3635 OPTIONS, FUTURES AND RISK MANAGEMENT TECHNIQUES",University of New South Wales,Australia,Finance Major Elective
FINS3640 Investment Management Modelling,University of New South Wales,Australia,Finance Major Elective
International Business Finance,University of New South Wales,Australia,Finance Major Elective
Portfolio Management of Financial Assets,University of New South Wales,Australia,Finance Major Elective
Real Estate Finance,University of New South Wales,Australia,Finance Major Elective
Venture Capital,University of New South Wales,Australia,Finance Major Elective
Customer Relationship Management,University of New South Wales,Australia,Marketing Major Elective
Marketing Communications and Promotions,University of New South Wales,Australia,Marketing Major Elective
Service marketing & management,University of New South Wales,Australia,Marketing Major Elective
Innovation and Technology Management,University of New South Wales,Australia,Operations Mgmt Major Elective
Entrepreneurial Ecosystems,University of New South Wales,Australia,Entrepreneurship Major Elec
Introduction to climate change,University of New South Wales,Australia,Comm - Technology & Society
Introduction to climate change,University of New South Wales,Australia,Communities – Tech and Society
Peak Carbon: Climate Change & Energy Policy,University of New South Wales,Australia,Comm - Technology & Society
Peak Carbon: Climate Change & Energy Policy,University of New South Wales,Australia,Communities – Tech and Society
ARTS2212 - Southeast Asia,University of New South Wales,Australia,Comm-Cltr of Mdrn Wrld+AS std
"Economic Growth, Technology and Structural Change",University of New South Wales,Australia,Economics Major Elective
Financial Econometrics,University of New South Wales,Australia,Economics Major Elective
Political Economy of Capitalism,University of New South Wales,Australia,Economics Major Elective
Digital Transformation in Business,University of New South Wales,Australia,Econ Major Rel/Econ Options
"ARTS2542 - Gods, Heroines & Heroes in Greek Myth",University of New South Wales,Australia,General Education - Arts
Australia's Asian Context,University of New South Wales,Australia,General Education - Arts
Criminology: An Introduction,University of New South Wales,Australia,General Education - Arts
Fine Arts Gateway 1,University of New South Wales,Australia,General Education - Arts
Psychology of the Individual and the Group,University of New South Wales,Australia,General Education - Arts
World Religions,University of New South Wales,Australia,General Education - Arts
Introduction to climate change,University of New South Wales,Australia,General Education - Science
Protecting Earth's Environment,University of New South Wales,Australia,General Education - Science
Development in a Global Context,University of New South Wales,Australia,Globalisation
Global Business Environment,University of New South Wales,Australia,Globalisation
International Business and Multinational Operation,University of New South Wales,Australia,Globalisation
Development in a Global Context,University of New South Wales,Australia,Global and Regional Studies
FINS3616 International Business Finance,University of New South Wales,Australia,Global and Regional Studies
Global Business Environment,University of New South Wales,Australia,Global and Regional Studies
Marketing in a global economy,University of New South Wales,Australia,Global and Regional Studies
Tourism: The Global Future,University of New South Wales,Australia,Global and Regional Studies
Asia-Pacific Capital Markets - FINS2622,University of New South Wales,Australia,GRS + FNCE
FINS3616 International Business Finance,University of New South Wales,Australia,GRS + FNCE
Advanced and Parallel Algorithms,University of New South Wales,Australia,IS Technology Depth Elective
Artificial Intelligence,University of New South Wales,Australia,IS Technology Depth Elective
Data Warehousing and Data Mining,University of New South Wales,Australia,IS Technology Depth Elective
Machine Learning and Data Mining,University of New South Wales,Australia,IS Technology Depth Elective
Mobile Applications Development,University of New South Wales,Australia,IS Technology Depth Elective
Neural Networks and Deep Learning,University of New South Wales,Australia,IS Technology Depth Elective
Managing Innovation and Organisational Change,University of New South Wales,Australia,Business-Oriented Elective
Innovation and Technology Management,University of New South Wales,Australia,IS Management Depth Elective
e-Business Applications and Technologies - INFS4885,University of New South Wales,Australia,IS Management Depth Elective
Children and the Law,University of New South Wales,Australia,Law Major Elective-LLB/JD only
Cyberspace Law 2.0,University of New South Wales,Australia,Law Major Elective-LLB/JD only
Law and Social Theory - LAWS3332,University of New South Wales,Australia,Law Major Elective-LLB/JD only
Communication Strategies,University of New South Wales,Australia,SSMR (Econs/Acct/Business)
Psychology and Law,University of New South Wales,Australia,SSMR (Social Science)
Social and Developmental Psychology,University of New South Wales,Australia,SSMR (Social Science)
The Psychology of Addiction,University of New South Wales,Australia,SSMR (Social Science)
Politics of Globalisation,University of New South Wales,Australia,Political Science Major
Customer Relationship Management,University of New South Wales,Australia,Technology & Entrepreneurship
Customer Relationship Management,University of New South Wales,Australia,Technology and Entrepreneursh
Customer Relationship Management,University of New South Wales,Australia,Technology and Entrepreneurshi
Fundamentals of Business Programming,University of New South Wales,Australia,Technology & Entrepreneurship
Fundamentals of Business Programming,University of New South Wales,Australia,Technology and Entrepreneursh
Fundamentals of Business Programming,University of New South Wales,Australia,Technology and Entrepreneurshi
Information Systems in Business,University of New South Wales,Australia,Technology & Entrepreneurship
Information Systems in Business,University of New South Wales,Australia,Technology and Entrepreneursh
Information Systems in Business,University of New South Wales,Australia,Technology and Entrepreneurshi
"Technology, Energy and Civilization",University of New South Wales,Australia,Technology & Entrepreneurship
"Technology, Energy and Civilization",University of New South Wales,Australia,Technology and Entrepreneursh
"Technology, Energy and Civilization",University of New South Wales,Australia,Technology and Entrepreneurshi
Financial Statement Analysis,University of Western Australia,Australia,Valuation
Management Accounting: Issues and Perspectives,University of Western Australia,Australia,AO (Financial Management Track
Applied Financial Management,University of Western Australia,Australia,Finance Major Elective
Corporate Finance,University of Western Australia,Australia,Finance Major Elective
Quantitative Methods for Finance,University of Western Australia,Australia,Finance Major Elective
Advertising and Promotion,University of Western Australia,Australia,Marketing Major Elective
Contemporary Marketing Issues,University of Western Australia,Australia,Marketing Major Elective
New Product Development and Commercialisation,University of Western Australia,Australia,Marketing Major Elective
Project Management,University of Western Australia,Australia,Operations Mgmt Major Elective
Negotiation: Theory and Practice,University of Western Australia,Australia,Career Skills
A World of Mobile Learning,University of Western Australia,Australia,General Education - Arts
Negotiation: Theory and Practice,University of Western Australia,Australia,GEA + OBHR
Australian Employment Relations,University of Western Australia,Australia,Global and Regional Studies
Cultural Foundations of Asian Business,University of Western Australia,Australia,Global and Regional Studies
Contemporary Political Theory,University of Western Australia,Australia,SSMR (Social Science)
Global Governance,University of Western Australia,Australia,SSMR (Social Science)
History of Political Ideas,University of Western Australia,Australia,SSMR (Social Science)
INTERNATIONAL RELATIONS IN EAST ASIA,University of Western Australia,Australia,SSMR (Social Science)
Politics in the USA,University of Western Australia,Australia,SSMR (Social Science)
The Contemporary International System,University of Western Australia,Australia,SSMR (Social Science)
The Liberal Democratic State,University of Western Australia,Australia,SSMR (Social Science)
International Political Economy,University of Western Australia,Australia,Political Science Major
Politics in the USA,University of Western Australia,Australia,Political Science Major
Intermediate Financial Economics,University of Sydney,Australia,Economic Growth
Data and Information Management,University of Sydney,Australia,Data Management
Intellectual Property: Copyright and Designs,University of Sydney,Australia,Intellectual Property Law
International Commercial Arbitration,University of Sydney,Australia,Intl Commercial Arbitration
International Risk Management,University of Sydney,Australia,Acct Options / Acct Elective
International Financial Management,University of Sydney,Australia,AO (Financial Management Track
International Corporate Governance,University of Sydney,Australia,AO (Risk Mgmt & Assurance Trk)
Australian Taxation System,University of Sydney,Australia,AO (Taxation Track)
Tax Strategies for Business,University of Sydney,Australia,AO (Taxation Track)
BUSINESS INTELLIGENCE FOR MANAGERS,University of Sydney,Australia,ADA Major Elective + AO/AE
Data Analytics for Accounting,University of Sydney,Australia,ADA Major Elective + AO/AE
Data Analytics: Learning from Data,University of Sydney,Australia,ADA Major Elective + AO/AE
Predictive Analytics,University of Sydney,Australia,ADA Major Elective + AO/AE
"Asia: Past, Present, Future",University of Sydney,Australia,Asian Studies
Buddhism in East Asia,University of Sydney,Australia,Asian Studies
East Asian Economies,University of Sydney,Australia,Asian Studies
BUSINESS INTELLIGENCE FOR MANAGERS,University of Sydney,Australia,Business Option
Digital Business Innovation,University of Sydney,Australia,Business Option
Foundations of Business Analytics,University of Sydney,Australia,Business Option
Bank Financial Management,University of Sydney,Australia,Finance Major Elective
Derivative Securities,University of Sydney,Australia,Finance Major Elective
Fixed Income Securities,University of Sydney,Australia,Finance Major Elective
International Banking Management,University of Sydney,Australia,Finance Major Elective
DIGITAL AND SOCIAL MEDIA MARKETING,University of Sydney,Australia,Marketing Major Elective
NEW PRODUCTS MARKETING,University of Sydney,Australia,Marketing Major Elective
Managing Food and Beverage Supply Chains,University of Sydney,Australia,Operations Mgmt Major Elective
Investments & Portfolio Management,University of Sydney,Australia,Quantitative Finance Elective
Working in Digital Ecosystems,University of Sydney,Australia,Digital Business Electives – A
Enterprise Systems and Integrated Business,University of Sydney,Australia,Digital Business Electives – B
Implementing Agile Design,University of Sydney,Australia,Digital Business Electives – B
Working in High-Performing Project Teams,University of Sydney,Australia,Digital Business Electives – B
Researching Digital Cultures,University of Sydney,Australia,Comm - Technology & Society
Researching Digital Cultures,University of Sydney,Australia,Communities – Tech and Society
The Past and Futures of Digital Cultures,University of Sydney,Australia,Comm - Technology & Society
The Past and Futures of Digital Cultures,University of Sydney,Australia,Communities – Tech and Society
"Atheism, Fundamentalism and New Religions",University of Sydney,Australia,Comm - Cltr of the Modern Wrl
"Atheism, Fundamentalism and New Religions",University of Sydney,Australia,Comm - Cultures of the Mod W
Cross-Cultural Management,University of Sydney,Australia,Comm - Cltr of the Modern Wrl
Cross-Cultural Management,University of Sydney,Australia,Comm - Cultures of the Mod W
Japanese 1,University of Sydney,Australia,Comm - Cltr of the Modern Wrl
Japanese 1,University of Sydney,Australia,Comm - Cultures of the Mod W
Chinese Thought,University of Sydney,Australia,Asia Studies
Entrepreneurship and Innovation,University of Sydney,Australia,Entrepreneurship Cluster
SOCIAL ENTREPRENEURSHIP,University of Sydney,Australia,Entrepreneurship Cluster
Global Business,University of Sydney,Australia,Free Electives (For LKCSB)
"Architecture, Place and Society",University of Sydney,Australia,Free Electives (SCIS only)
Design Theory and Culture,University of Sydney,Australia,Free Electives (SCIS only)
Design in Architecture,University of Sydney,Australia,Free Electives (SCIS only)
Living Cities,University of Sydney,Australia,Free Electives (SCIS only)
Psychology 1002,University of Sydney,Australia,Free Electives (SCIS only)
Global Business,University of Sydney,Australia,Globalisation
ETHICAL INTERNATIONAL BUSINESS DECISIONS,University of Sydney,Australia,Global and Regional Studies
GLOBAL BUSINESS,University of Sydney,Australia,Global and Regional Studies
INTERNATIONAL BUSINESS STRATEGY,University of Sydney,Australia,Global and Regional Studies
STRATEGY AND EMERGING MARKETS,University of Sydney,Australia,Global and Regional Studies
INTERNATIONAL AND GLOBAL MARKETING,University of Sydney,Australia,GRS + MKTG
"MANAGEMENT, MARKETING AND THE LAW",University of Sydney,Australia,GRS + MKTG
Graphics and Multimedia,University of Sydney,Australia,IS Technology Depth Elective
Health System Data Standards and Analysis,University of Sydney,Australia,IS Technology Depth Elective
INTRODUCTION TO DATA ANALYTICS,University of Sydney,Australia,IS Technology Depth Elective
Animal Production and Management,University of Sydney,Australia,Business-Oriented Elective
Entrepreneurship and Innovation,University of Sydney,Australia,Business-Oriented Elective
DATA SCIENCE IN BUSINESS,University of Sydney,Australia,IS Management Depth Elective
Data Governance and Technology Assurance,University of Sydney,Australia,IS Management Depth Elective
Environmental Law,University of Sydney,Australia,Law Major Elective-LLB/JD only
International Human Rights Law,University of Sydney,Australia,Law Major Elective-LLB/JD only
International Law and China,University of Sydney,Australia,Law Major Elective-LLB/JD only
Introduction to Islamic Law,University of Sydney,Australia,Law Major Elective-LLB/JD only
Law of Restitution and Unjust Enrichment,University of Sydney,Australia,Law Major Elective-LLB/JD only
Media Law: Contempt and Open Justice,University of Sydney,Australia,Law Major Elective-LLB/JD only
Media Law: Defamation and Privacy,University of Sydney,Australia,Law Major Elective-LLB/JD only
Medical Law,University of Sydney,Australia,Law Major Elective-LLB/JD only
Race and the Law,University of Sydney,Australia,Law Major Elective-LLB/JD only
Secured Transactions in Commercial Law,University of Sydney,Australia,Law Major Elective-LLB/JD only
Topics in Legal History,University of Sydney,Australia,Law Major Elective-LLB/JD only
Brain and Behaviour,University of Sydney,Australia,SSMR (Social Science)
Developmental Psychology,University of Sydney,Australia,SSMR (Social Science)
GOVT1105 - Geopolitics,University of Sydney,Australia,SSMR (Social Science)
Personality and Differential Psychology,University of Sydney,Australia,SSMR (Social Science)
Sociology of Childhood and Youth,University of Sydney,Australia,SSMR (Social Science)
World Politics,University of Sydney,Australia,SSMR (Social Science)
Australian Politics,University of Sydney,Australia,Political Science Major
World Politics,University of Sydney,Australia,Political Science Major
Contemporary Cultural Issues,University of Sydney,Australia,Sociology Major Elective
"Crime, Punishment and Society",University of Sydney,Australia,Sociology Major Elective
Media in Contemporary Society,University of Sydney,Australia,Sociology Major Elective
Sociology of Childhood and Youth,University of Sydney,Australia,Sociology Major Elective
Introduction to Philosophy,Bond University,Australia,General Education - Arts
Australian Legal System,Bond University,Australia,Law Major Elective-LLB/JD only
Canadian Criminal Law and Procedure,Bond University,Australia,Law Major Elective-LLB/JD only
Copyright & Entertainment Law,Bond University,Australia,Law Major Elective-LLB/JD only
Electronic Commerce and the Law,Bond University,Australia,Law Major Elective-LLB/JD only
Equitable Remedies,Bond University,Australia,Law Major Elective-LLB/JD only
Foundations of United States Law,Bond University,Australia,Law Major Elective-LLB/JD only
Sports Law,Bond University,Australia,Law Major Elective-LLB/JD only
Takeovers and Securities Regulation,Bond University,Australia,Law Major Elective-LLB/JD only
Managing Risk,Queensland University of Technology,Australia,AO (Risk Mgmt & Assurance Trk)
Advanced Taxation Law,Queensland University of Technology,Australia,AO (Taxation Track)
Taxation Law,Queensland University of Technology,Australia,AO (Taxation Track)
International Business in the Asia-Pacific,Queensland University of Technology,Australia,Asian Studies
Business Technologies,Queensland University of Technology,Australia,Business Option
"Innovation, Knowledge and Creativity",Queensland University of Technology,Australia,Business Option
Introduction to Public Relations,Queensland University of Technology,Australia,Business Option
Managing Projects,Queensland University of Technology,Australia,Business Option
Marketing Planning and Management,Queensland University of Technology,Australia,Business Option
Risk Management and Derivatives,Queensland University of Technology,Australia,Finance Major Elective
Brand Management,Queensland University of Technology,Australia,Marketing Major Elective
BSB108 Business Environment,Queensland University of Technology,Australia,Capabilities - Managing
MGB225 Intercultural Communication and Negotiation Skills,Queensland University of Technology,Australia,Capabilities - Managing
Bridging Cultures,Queensland University of Technology,Australia,Comm - Cltr of the Modern Wrl
Bridging Cultures,Queensland University of Technology,Australia,Comm - Cultures of the Mod W
CWB112 Popular Culture: A 21st Century Communication Industry,Queensland University of Technology,Australia,Comm - Cltr of the Modern Wrl
CWB112 Popular Culture: A 21st Century Communication Industry,Queensland University of Technology,Australia,Comm - Cultures of the Mod W
IAB330 Applied IoT and Mobile Technologies,Queensland University of Technology,Australia,Free Electives (SCIS only)
https://www.qut.edu.au/study/unit?unitCode=AMB200,Queensland University of Technology,Australia,Free Electives (SCIS only)
Bridging Cultures,Queensland University of Technology,Australia,General Education - Arts
Global Business,Queensland University of Technology,Australia,Global and Regional Studies
International Finance,Queensland University of Technology,Australia,GRS + FNCE
Concept Development for Game Design and Interactive Media,Queensland University of Technology,Australia,IS Technology Depth Elective
Data Warehousing and Mining,Queensland University of Technology,Australia,IS Technology Depth Elective
Enterprise Software Architecture,Queensland University of Technology,Australia,IS Technology Depth Elective
Introduction to Web Design and Development,Queensland University of Technology,Australia,IS Technology Depth Elective
Network Planning,Queensland University of Technology,Australia,IS Technology Depth Elective
Networks,Queensland University of Technology,Australia,IS Technology Depth Elective
Web Application Development,Queensland University of Technology,Australia,IS Technology Depth Elective
Wireless and Mobile Network,Queensland University of Technology,Australia,IS Technology Depth Elective
Advertising Creative: Trends in New Media,Queensland University of Technology,Australia,Business-Oriented Elective
Entrepreneurship and Innovation,Queensland University of Technology,Australia,Business-Oriented Elective
Working in Business,Queensland University of Technology,Australia,Business-Oriented Elective
Interpersonal Processes and Skills,Queensland University of Technology,Australia,SSMR (Social Science)
Building IT Systems,Queensland University of Technology,Australia,Technology & Entrepreneurship
Building IT Systems,Queensland University of Technology,Australia,Technology and Entrepreneursh
Building IT Systems,Queensland University of Technology,Australia,Technology and Entrepreneurshi
Building IT systems,Queensland University of Technology,Australia,Technology & Entrepreneurship
Building IT systems,Queensland University of Technology,Australia,Technology and Entrepreneursh
Building IT systems,Queensland University of Technology,Australia,Technology and Entrepreneurshi
IT Systems Design,Queensland University of Technology,Australia,Technology Studies
Foundations of Intellectual Property Law,"University of New South Wales, Faculty of Law",Australia,Intellectual Property Law
Intellectual Property Law,"University of New South Wales, Faculty of Law",Australia,Intellectual Property Law
Public International Law,"University of New South Wales, Faculty of Law",Australia,Public International Law
Intellectual Property 2,"University of New South Wales, Faculty of Law",Australia,Intl Patent Law and Policy
Along the Silk Road,"University of New South Wales, Faculty of Law",Australia,Asian Studies
Southeast Asia,"University of New South Wales, Faculty of Law",Australia,Asia Studies
Global Business Environment,"University of New South Wales, Faculty of Law",Australia,Globalisation
Australian Immigration Law and Practice,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Children and the Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
"Cities, Planning, Law and Justice","University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Corporate Misconduct and White Collar Crime,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Criminal Threats from Cyberspace,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Critical Issues in Restorative Justice,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Discrimination and the Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Drug Law and Policy,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Employment Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Environmental Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Environmental Law in Developing Countries,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Expert Evidence,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
FOOD LAW,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Family Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Financial Economics and Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Financial Law and Regulation in the Age of FinTech,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
"Gender, Race and Justice","University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Information Technology Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
International Children's Rights Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
International Criminal Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
International Financial Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
International Human Rights Law and Advocacy,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Issues in Space Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Law of banking,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Legal Experimentalism,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Penology,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Public Interest Litigation,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Public Interest Litigation: Origins and Strategies,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Regulation for Cyber Security,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Remedies,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Renewable Energy Law: Structuring and Financing Renewable Energy Projects,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Roman Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Sport and the Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Takeovers and capital markets law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
The Australian Legal System in Comparative Perspective,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
The Criminal Trial,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Theories of Law and Biology,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
US Legal Systems,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Understanding Human Rights,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Work Health and Safety Law,"University of New South Wales, Faculty of Law",Australia,Law Major Elective-LLB/JD only
Development Poverty and Famine(P),Australian National University,Australia,Development Economics
Money and Banking,Australian National University,Australia,Monetary Economics
Public Sector Economics,Australian National University,Australia,Public Sector Economics
Health Economics,Australian National University,Australia,Health Economics
Business and Economic Forecasting,Australian National University,Australia,Economic Forecasting
Mathematical Economics: Technique and Applications,Australian National University,Australia,Advanced Mathematical Methods
"Corporate Social Responsibility, Accountability and Reporting",Australian National University,Australia,AO (Financial Management Track
Asian Capital Markets,Australian National University,Australia,Asian Studies
Democracy in Southeast Asia,Australian National University,Australia,Asian Studies
Economies of Emerging Asia,Australian National University,Australia,Asian Studies
International Security issues in the Asia Pacific,Australian National University,Australia,Asian Studies
"Japanese Popular Culture: Manga, Anime, Film & the Visual Arts",Australian National University,Australia,Asian Studies
Language in Asia and the Pacific,Australian National University,Australia,Asian Studies
The Politics of China,Australian National University,Australia,Asian Studies
Labour Economics and Industrial Relations,Australian National University,Australia,Business Option
Derivatives,Australian National University,Australia,Finance Major Elective
Financial Mathematics,Australian National University,Australia,Finance Major Elective
Advertising,Australian National University,Australia,Marketing Major Elective
E-Marketing,Australian National University,Australia,Marketing Major Elective
International Marketing,Australian National University,Australia,Marketing Major Elective
Service Marketing,Australian National University,Australia,Marketing Major Elective
Career Planning and Management,Australian National University,Australia,Org Behaviour & HR Major Elec
Managing Organisational Change (MGMT 2035),Australian National University,Australia,Org Behaviour & HR Major Elec
Organisational Behaviour (MGMT2007),Australian National University,Australia,Org Behaviour & HR Major Elec
Advanced Derivatives Pricing and Applications,Australian National University,Australia,Quantitative Finance Elective
Portfolio Construction,Australian National University,Australia,Finance (Finance Analytics Tra
Foundations of Fintech,Australian National University,Australia,Digital Business Electives – A
Algorithms,Australian National University,Australia,Digital Business Electives – B
Foundations of Computing,Australian National University,Australia,Digital Business Electives – B
Introduction to Machine Learning,Australian National University,Australia,Digital Business Electives – B
Leadership,Australian National University,Australia,Capabilities - Managing
Negotiation,Australian National University,Australia,Capabilities - Managing
History of the State System in Southeast Asia,Australian National University,Australia,Comm - Cltr of the Modern Wrl
History of the State System in Southeast Asia,Australian National University,Australia,Comm - Cultures of the Mod W
Asia and the Pacific in Motion,Australian National University,Australia,Asia Studies
Samurai Society and Social Control in Japan,Australian National University,Australia,Asia Studies
Behavioural Economics: Psychology and Economics,Australian National University,Australia,Economics Major Elective
The Illicit Economy,Australian National University,Australia,Economics Major Elective
Design Thinking: Entrepreneurial Innovation,Australian National University,Australia,Entrepreneurship Cluster
Entrepreneurship and Innovation,Australian National University,Australia,Entrepreneurship Cluster
Global and Local,Australian National University,Australia,General Education - Arts
"Weather, Climate and Fire",Australian National University,Australia,General Education - Arts
"Global Citizen: Culture, Development and Inequality",Australian National University,Australia,Globalisation
"Globalisation: Communications, Culture and Democracy",Australian National University,Australia,Globalisation
Introduction to International Relations: Contemporary Global Issues,Australian National University,Australia,Globalisation
The Twentieth Century World,Australian National University,Australia,Globalisation
Business in China,Australian National University,Australia,Global and Regional Studies
International Strategic Management,Australian National University,Australia,Global and Regional Studies
Career Planning and Management,Australian National University,Australia,Business-Oriented Elective
Financial Statement Analysis,Australian National University,Australia,Business-Oriented Elective
Human Resource Management and Strategy,Australian National University,Australia,Business-Oriented Elective
International Human Resource Management,Australian National University,Australia,Business-Oriented Elective
Money and Banking,Australian National University,Australia,Business-Oriented Elective
Survival Models,Australian National University,Australia,Business-Oriented Elective
Information Systems Strategy and Management,Australian National University,Australia,IS Management Depth Elective
Advanced Algorithms,Australian National University,Australia,IS Depth Elective
